year,cpi_avg,inflation_rate_pct,gdp_avg_billions,gdp_growth_rate_pct,trade_balance_avg_millions,trade_pct_gdp
2002,179.867,1.596,14472.712,1.7,-39603.667,22.286
2003,184.0,2.298,14877.312,2.796,-45136.917,22.627
2004,188.908,2.667,15449.757,3.848,-55397.167,24.448
2005,195.267,3.366,15987.958,3.484,-65233.5,25.639
2006,201.558,3.222,16433.148,2.785,-69774.0,26.975
2007,207.344,2.871,16762.445,2.004,-68433.0,28.012
2008,215.254,3.815,16781.485,0.114,-69374.333,29.868
2009,214.565,-0.32,16349.11,-2.577,-42474.5,24.76
2010,218.076,1.636,16789.751,2.695,-54055.917,28.22
2011,224.923,3.14,17052.41,1.564,-61750.0,30.842
2012,229.586,2.073,17442.759,2.289,-61760.083,30.682
2013,232.952,1.466,17812.167,2.118,-58378.25,30.008
2014,236.715,1.615,18261.714,2.524,-62493.083,30.004
2015,237.002,0.121,18799.622,2.946,-63489.0,27.824
2016,240.005,1.267,19141.672,1.819,-62483.583,26.608
2017,245.121,2.132,19612.102,2.458,-66611.917,27.313
2018,251.1,2.439,20193.895,2.966,-73228.917,27.61
2019,255.653,1.813,20715.672,2.584,-71438.417,26.454
2020,258.856,1.253,20284.5,-2.081,-76072.917,23.402
2021,270.973,4.681,21532.407,6.152,-90265.917,25.61
2022,292.626,7.991,22075.931,2.524,-97880.417,27.314
2023,304.703,4.127,22723.719,2.934,-88124.667,25.29
